"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"Census Tract 1, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,351","3.0%","0.6%","4.8%","1.1%","2.0%","5.6%","9.5%","12.1%","14.8%","46.5%","191,146","291,144","","27.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,206","0.3%","0.0%","2.6%","0.0%","0.0%","0.0%","7.1%","7.2%","14.7%","68.1%","236,731","388,541","","(X)","25.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,051","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","1.3%","6.1%","16.8%","75.4%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,145","5.8%","1.2%","7.2%","2.4%","4.2%","11.4%","12.1%","17.2%","14.8%","23.8%","109,234","187,075","","(X)","(X)","28.3%"
"Census Tract 2.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","0","-","-","-","-","-","-","-","-","-","-","-","-","","-","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","0","-","-","-","-","-","-","-","-","-","-","-","-","","(X)","-","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","0","-","-","-","-","-","-","-","-","-","-","-","-","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","0","-","-","-","-","-","-","-","-","-","-","-","-","","(X)","(X)","-"
"Census Tract 2.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,563","5.8%","0.6%","3.7%","2.2%","3.1%","11.4%","3.6%","14.5%","11.7%","43.4%","170,987","222,917","","33.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","682","0.0%","0.0%","1.3%","0.0%","1.8%","3.7%","0.0%","14.4%","8.8%","70.1%","250,000+","323,661","","(X)","25.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","589","0.0%","0.0%","0.0%","0.0%","2.0%","1.2%","0.0%","13.1%","6.1%","77.6%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","881","10.3%","1.0%","5.6%","4.0%","4.2%","17.4%","6.4%","16.9%","14.0%","20.3%","104,044","140,968","","(X)","(X)","40.6%"
"Census Tract 3, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,455","5.1%","2.6%","2.1%","2.4%","2.1%","9.0%","9.0%","16.9%","13.8%","36.9%","152,120","185,642","","30.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,018","2.8%","0.0%","0.0%","0.0%","0.0%","2.3%","3.1%","10.3%","16.4%","65.1%","234,100","275,713","","(X)","19.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","816","1.8%","0.0%","0.0%","0.0%","0.0%","2.8%","3.4%","8.9%","12.3%","70.7%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,437","7.7%","4.5%","3.5%","4.2%","3.5%","13.7%","13.4%","21.6%","11.7%","16.1%","99,507","119,027","","(X)","(X)","37.0%"
"Census Tract 4, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","618","7.8%","0.0%","3.2%","3.6%","7.1%","10.5%","7.4%","14.9%","7.0%","38.5%","126,731","311,661","","41.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","265","6.4%","0.0%","1.5%","0.0%","0.0%","0.0%","0.0%","10.2%","17.0%","64.9%","250,000+","522,936","","(X)","36.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","235","0.0%","0.0%","1.7%","0.0%","0.0%","0.0%","0.0%","6.0%","19.1%","73.2%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","353","8.8%","0.0%","4.5%","6.2%","12.5%","18.4%","13.0%","18.4%","5.4%","12.7%","72,321","117,477","","(X)","(X)","38.8%"
"Census Tract 5.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,888","4.5%","2.5%","1.7%","2.1%","3.4%","14.0%","9.1%","23.1%","14.1%","25.3%","116,303","163,823","","26.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","812","2.0%","0.0%","0.0%","0.0%","0.0%","7.8%","4.8%","22.0%","15.5%","47.9%","184,423","245,424","","(X)","38.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","703","0.0%","0.0%","0.0%","0.0%","0.0%","6.7%","5.5%","23.5%","13.9%","50.4%","225,417","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,076","6.4%","4.5%","3.1%","3.7%","6.0%","18.8%","12.3%","24.0%","13.0%","8.3%","92,500","101,952","","(X)","(X)","15.5%"
"Census Tract 5.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,569","3.7%","0.2%","1.3%","3.8%","4.0%","9.0%","14.2%","17.0%","10.4%","36.5%","142,750","232,927","","27.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","695","1.9%","0.0%","0.0%","1.3%","0.0%","4.3%","9.9%","9.1%","9.2%","64.3%","250,000+","364,137","","(X)","32.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","610","0.0%","0.0%","0.0%","0.0%","0.0%","3.0%","9.2%","8.7%","10.5%","68.7%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","874","5.1%","0.3%","2.3%","5.7%","7.2%","12.7%","17.6%","23.3%","11.3%","14.3%","98,125","125,017","","(X)","(X)","23.8%"
"Census Tract 6, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,170","1.6%","6.1%","1.3%","0.0%","2.1%","7.1%","7.5%","18.9%","6.6%","48.8%","177,759","266,321","","26.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,016","0.0%","0.0%","1.7%","0.0%","0.0%","6.1%","3.1%","10.9%","6.3%","71.9%","250,000+","396,313","","(X)","35.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","884","0.0%","0.0%","0.0%","0.0%","0.0%","2.6%","3.5%","7.8%","7.2%","78.8%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,154","2.9%","11.5%","1.0%","0.0%","3.9%","8.8%","12.2%","25.1%","6.8%","27.6%","114,741","149,802","","(X)","(X)","17.9%"
"Census Tract 7.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","3,388","7.9%","3.0%","1.0%","7.0%","4.3%","14.7%","13.4%","18.9%","4.1%","25.7%","98,750","153,767","","24.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,222","5.6%","0.0%","0.0%","4.4%","1.3%","8.4%","10.4%","18.6%","6.3%","45.0%","154,605","243,187","","(X)","29.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,105","2.9%","0.0%","0.0%","3.5%","1.4%","7.6%","11.5%","20.5%","7.0%","45.5%","157,866","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,166","9.2%","4.7%","1.5%","8.4%","6.0%","18.2%","15.1%","19.1%","2.9%","14.9%","78,214","103,319","","(X)","(X)","22.1%"
"Census Tract 7.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,238","5.7%","6.3%","4.7%","8.8%","6.2%","24.4%","15.2%","16.8%","7.4%","4.4%","69,292","79,991","","20.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","396","0.0%","0.0%","6.3%","0.0%","3.3%","12.4%","17.4%","26.5%","20.7%","13.4%","111,707","130,073","","(X)","36.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
