id,Geographic Area Name,Estimate!!Households!!Mean income (dollars),Margin of Error!!Households MOE!!Mean income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families MOE!!Mean income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households MOE!!Mean income (dollars)
1400000US11001000100,"Census Tract 1, District of Columbia, District of Columbia",291144,43546,388541,85622,187075,44674
1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,0,0,0,0,0
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",222917,31676,323661,51994,140968,35296
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",185642,17385,275713,34835,119027,17804
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",311661,62978,522936,112556,117477,45276
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",163823,23360,245424,45252,101952,15953
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",232927,29614,364137,64559,125017,18321
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",266321,38660,396313,72133,149802,33362
1400000US11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",153767,22179,243187,52690,103319,19784
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",79991,8668,130073,26972,66535,8335
1400000US11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",217458,32778,348403,65284,103870,19298
1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",195319,33092,282209,54189,84946,16076
1400000US11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",376471,45934,437753,53017,181425,59407
1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",364841,123411,409078,148623,142583,36199
1400000US11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",228056,22590,284692,29689,100492,14001
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",143128,37467,186003,35975,126926,51119
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",232932,38135,307326,53481,105027,26529
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",172996,20729,250841,35758,103215,15582
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",190271,36933,279876,74830,117143,22866
1400000US11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",139886,20586,211639,43416,115160,22024
